,cellid,modelname,state_sig,state_chan,MI,isolation,r,r_se,d,g,sp,state_chan_alt
0,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,99.0,0.7080850849610435,0.011873741813958415,0.3627390516876744,0.9661200314773465,0.0,baseline
1,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-2.805437249008321e-05,99.0,0.7080850849610435,0.011873741813958415,-0.023273702816269125,-0.05658719568727531,0.0,pupil
2,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.00013847772532885356,99.0,0.7080850849610435,0.011873741813958415,-0.043497837352593924,-0.1370016558491059,0.0,ACTIVE_1
3,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,4.397271500070526e-06,99.0,0.7080850849610435,0.011873741813958415,-0.059465569945958974,-0.10667237764426421,0.0,PASSIVE_1
4,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_2,-0.00022871367924345916,99.0,0.7080850849610435,0.011873741813958415,-0.024558030530201173,-0.1488091076229185,0.0,PASSIVE_2
5,ley041l-a1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_2,0.00434763721505698,99.0,0.7080850849610435,0.011873741813958415,0.09101362015080502,0.23315242397001956,0.0,ACTIVE_2
6,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,baseline,,85.0,0.31671092494721054,0.014304056122307656,0.5621364483535215,0.9493276860427485,0.0,baseline
7,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,pupil,-0.0013273686449840514,85.0,0.31671092494721054,0.014304056122307656,-0.029939197440696404,-0.13932270224756163,0.0,pupil
8,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,ACTIVE_1,-0.0005578696206931941,85.0,0.31671092494721054,0.014304056122307656,0.008507349496107446,-0.0650096997334702,0.0,ACTIVE_1
9,ley046g-57-1,psth.fs20.pup-ld-st.pup0.fil0-ref-psthfr.s_sdexp.S_jk.nf20-basic,st.pup0.fil0,PASSIVE_1,-0.00018504941087277483,85.0,0.31671092494721054,0.014304056122307656,-0.025378154420749015,-0.062420765572453615,0.0,PASSIVE_1
